,state,year,married_last_year,marriage_rate_per_1000,divorced_last_year,divorce_rate_per_1000,population_over_15
214,New Jersey,2015,99198,13.563093858775266,45501.0,6.22123766273648,7313818
215,New Mexico,2015,29470,17.657396184156994,14419.0,8.639361913110271,1668989
216,New York,2015,250300,15.34413937554441,100403.0,6.155004497494148,16312417
217,North Carolina,2015,154215,18.929418426254195,66898.0,8.211524390490892,8146843
218,North Dakota,2015,13739,22.46182519700487,4603.0,7.525422620410032,611660
219,Ohio,2015,154923,16.39145489755063,83251.0,8.808279026845515,9451449
220,Oklahoma,2015,65525,21.079624198797344,36177.0,11.638268823195597,3108452
221,Oregon,2015,60876,18.35278923143851,29063.0,8.761862038131571,3316989
222,Pennsylvania,2015,174585,16.486277818970784,75367.0,7.116999171649174,10589716
223,Rhode Island,2015,12433,14.085655923894633,4403.0,4.988268562125639,882671
224,South Carolina,2015,71888,17.995281395305177,35180.0,8.806393271294738,3994825
225,South Dakota,2015,13589,19.900883670116016,5060.0,7.410292984825008,682834
226,Tennessee,2015,104146,19.418424289568822,48885.0,9.114797221166167,5363257
227,Texas,2015,449068,20.938924251972285,198419.0,9.251784609796486,21446565
228,Vermont,2015,8359,15.797809209183479,4450.0,8.410126926769529,529124
229,Utah,2015,61197,27.46263753868854,20604.0,9.246207883509628,2228373
230,Virginia,2015,132773,19.448624828581465,57357.0,8.401668820414896,6826858
231,Washington,2015,114216,19.595066852364823,54274.0,9.311328170705053,5828814
232,West Virginia,2015,28332,18.494933346563272,17312.0,11.301153681198057,1531879
233,Wisconsin,2015,75678,16.08839668129783,31661.0,6.730816450310137,4703887
234,Wyoming,2015,10539,22.51648837641569,6032.0,12.887319279489464,468057
235,Puerto Rico,2015,22392,7.773380545719642,18699.0,6.491355967506769,2880600
236,Alabama,2015,66541,16.857755515043053,39540.0,10.017217250489207,3947204
237,Alaska,2015,16278,27.939356594961716,5987.0,10.276012282469331,582619
238,Arizona,2015,97098,17.71216177465288,48308.0,8.812118797605835,5481996
239,Arkansas,2015,48869,20.438890982404295,28604.0,11.963290381646697,2390981
240,California,2015,556876,17.635639397860576,205522.0,6.508651621415003,31576740
241,Colorado,2015,88204,20.018519695332856,37328.0,8.471852786578667,4406120
242,Delaware,2015,14342,18.46932060664674,4753.0,6.120811661092732,776531
243,District of Columbia,2015,13419,23.54433577917908,4550.0,7.9832124446877435,569946
244,Connecticut,2015,42656,14.352870792870268,21807.0,7.337609090869325,2971949
245,Florida,2015,288598,17.087745946679824,142227.0,8.421190870201565,16889179
246,Georgia,2015,159846,19.639419346682082,72487.0,8.906088298630833,8139039
247,Idaho,2015,28230,21.804413713840823,14651.0,11.316204935227837,1294692
248,Hawaii,2015,27685,23.6968041626259,7272.0,6.224423329261893,1168301
249,Illinois,2015,164956,15.841613824793804,72347.0,6.947872374344414,10412828
250,Indiana,2015,97957,18.431120421031164,54771.0,10.30544929489774,5314761
251,Iowa,2015,51256,20.350552318817908,19014.0,7.549270364250111,2518654
252,Kansas,2015,42839,18.524492337496106,23875.0,10.324056456913551,2312560
253,Kentucky,2015,75960,21.165819820246572,39106.0,10.896663374020044,3588805
254,Louisiana,2015,65663,17.55263880345979,30804.0,8.234340278418218,3740919
255,Maine,2015,18055,16.103181660478395,10633.0,9.483529803149642,1121207
256,Maryland,2015,79606,16.2774449036728,36494.0,7.462114342067624,4890571
257,Massachusetts,2015,84549,14.942809277835796,40294.0,7.121379993153266,5658173
258,Michigan,2015,121976,15.0275896769221,63354.0,7.805288879711768,8116804
259,Minnesota,2015,76645,17.337516626100488,31448.0,7.113708955021308,4420760
260,Mississippi,2016,49530,20.73983379659135,19486.0,8.15942663760103,2388158
261,Missouri,2016,84406,17.07336758147655,43935.0,8.887027044193212,4943723
262,Montana,2016,15393,18.060690396377773,8496.0,9.968402884923377,852293
263,Nebraska,2016,26764,17.731102569300624,11473.0,7.600842167747201,1509438
264,Nevada,2016,44908,18.8986849026828,23367.0,9.833561283534982,2376250
265,New Hampshire,2016,17850,15.884937875209351,8671.0,7.716431166159119,1123706
266,New Jersey,2016,104009,14.221296216409709,47058.0,6.43430623649692,7313609
267,New Mexico,2016,24257,14.467461779646309,13216.0,7.882342205540901,1676659
268,New York,2016,246809,15.153310546073962,96912.0,5.950097571973145,16287464
269,North Carolina,2016,148848,18.04127210070377,64932.0,7.870148608264117,8250416
270,North Dakota,2016,12008,19.73338241480858,5269.0,8.658826777450567,608512
271,Ohio,2016,155469,16.417833216467148,72835.0,7.691519739120885,9469520
272,Oklahoma,2016,63913,20.50279698788881,32737.0,10.501776868438595,3117282
273,Oregon,2016,60622,17.963527123823646,30860.0,9.144443387568831,3374727
274,Pennsylvania,2016,158408,14.96447439371433,80161.0,7.572642997036352,10585604
275,Rhode Island,2016,13010,14.676800164253812,5932.0,6.691989129466074,886433
276,South Carolina,2016,74760,18.475111360982574,34757.0,8.58934517888806,4046525
277,South Dakota,2016,12956,18.92157535697021,4687.0,6.845123780342651,684721
278,Tennessee,2016,109427,20.242929209777106,51765.0,9.576020822503695,5405690
279,Texas,2016,453745,20.839855189082375,189052.0,8.682886430057414,21772944
280,Vermont,2016,6936,13.159442507124236,3504.0,6.648022858270376,527074
281,Utah,2016,61091,26.83242853880075,20667.0,9.077373109155115,2276760
282,Virginia,2016,131864,19.21980118763866,53317.0,7.77120472548482,6860841
283,Washington,2016,113706,19.17704947063511,52622.0,8.87494676836544,5929275
284,West Virginia,2016,20814,13.694682404958352,14800.0,9.737739002276525,1519860
285,Wisconsin,2016,77516,16.427036839403865,33969.0,7.198643046567288,4718806
286,Wyoming,2016,10797,23.14960731216271,4958.0,10.630337413513264,466401
287,Puerto Rico,2016,22537,7.89438471297955,15911.0,5.573392872530399,2854814
288,Alabama,2016,64432,16.261992942165836,35802.0,9.036067036805024,3962122
289,Alaska,2016,14040,24.01354610292986,5239.0,8.960610258778456,584670
290,Arizona,2016,93345,16.730575451498808,47891.0,8.583684063931965,5579306
291,Arkansas,2016,51744,21.55184621818079,29244.0,12.18039175178724,2400908
292,California,2016,550734,17.375222481083487,219719.0,6.931960816512477,31696515
293,Colorado,2016,103575,23.06498011167392,37798.0,8.417186756080625,4490574
294,Delaware,2016,10689,13.654253205983906,6233.0,7.962106860594788,782833
295,District of Columbia,2016,14696,25.512117214082355,3573.0,6.20269425734324,576040
296,Connecticut,2016,47228,15.920310801358493,23125.0,7.7953160684639435,2966525
297,Florida,2016,269433,15.669045619601702,145447.0,8.45856178802971,17195240
298,Georgia,2016,156094,18.961715662699778,74736.0,9.078649927399711,8232061
299,Idaho,2016,26526,20.08332847515553,15525.0,11.754266552695077,1320797
